"censusYear","zone","England","Scotland","Wales","Rest of UK","Irish Republic","Old Commonwealth","Africa New Commonwealth","India","Pakistan","Europe","S East Asia New Commonwealth","Caribbean New Commonwealth","New Commonwealth other","Rest of world"
1971,"5601AD",82.7337983770712,774.320694743517,2.03733683959745,2.49881942369153,1.26571617989902,0.794306887807815,0,0.207871461842429,0,3.8770819647497,2.81843971971064,0,0.939479906570214,3.41456705556935
1971,"5601AE",132.207738236305,1097.48975501054,0.219084228805834,2.20284698539876,0.85608919231716,0.749570627558652,0,0.456604905819042,0,2.1905449697236,0.053484321030207,0,2.01782810701007,9.97043430776377
1971,"5601AF",774.713462708091,4921.45101200123,2.98993189116016,24.2445464629008,20.6709769937878,22.6647029902791,4.1292626658075,6.27082493223369,0,40.5776758828551,0,3,2.91112475095127,12.4952926468362
1971,"5601AG",583.129085688452,1652.69876777615,2.82664009405414,4,0,9.58722866855241,0,4.46911312072373,0,8.63208928660506,0,0,0,14.5933019398545
1971,"5601AJ",1143.57476302098,4023.60114184537,7.91416244486144,19.6604379519254,19.6917993577261,9,1.28777785256078,0.855866717674656,0,18.4834732563738,4,0,3.21443602660113,11.6994167736766
1971,"5601AK",355.57507784495,642.011550843934,0,3.46125210957746,1.46150037427009,3.43387867218962,0,0.655952094972611,0,2.7655650314377,1,0,0,2.56267235469747
1971,"5602AE",275.790452959017,4307.8255864186,8.30043331804683,22.5203860100379,14.3449927984294,7.96555152256646,5.48544735322444,1.88765209523345,0.098011093355226,88.9268720970275,3.68407985292758,0.042087274692912,2.83367078931177,37.1579504733204
1971,"5602AF",338.056428625263,4788.39147562647,6.33585153619796,26.6234344727558,24.4275504469695,26.274481080084,5.18998135454831,7.24425622863881,0.146796934092844,50.6836088462198,0.830457683652054,3.53233928696141,3.92036544400632,35.5390941180553
1971,"5602AG",261.52701480651,3544.14594314269,4.11800197900612,19.6866341465299,20.498736340946,9.23037141354676,9.22342036468111,5.6596150130957,0.892775518199432,45.9819956401797,8.23273445680564,0.890295028365232,1.74107886782754,20.9827054124113
1971,"5602AH",108.313780012575,1597.95635148477,1.82069656348782,9.43634896884125,8.65432389836096,1.80577441154797,0.45632193612366,1.05767755255784,0.294791732798604,8.85568199599076,0,0.013721909991702,0,17.7905578872028
1971,"5602AK",53.8871185317826,1327.44365623755,1.47988680508805,3.63061392396143,9.43409524192647,3.72303570238456,0.371702317252296,4.22914632840198,0,3.39748009775819,0.128075959259152,0.304072490021413,0.042691986419717,1.18396568265668
1971,"5602AN",444.209527094502,3828.46946111998,11.2945598889994,17.5389851024928,19.0231791839638,14.0491029156045,8.81313358237943,14.9075866738612,3.74162401358266,40.9836649423496,5.31882513242844,2.21748400996733,1.50488489885438,27.3923001734654
1971,"5602AP",210.576617886846,2017.92093473409,11.1752821906874,3.29236914842672,8.17957263838336,8.42337833396184,1.81516410036827,3.88174664475092,0.111579052324495,12.5136991737373,4.88736258973663,0,0,8.82365721231375
1971,"5602AQ",219.840353353943,2979.39506508552,12.4427592505405,14.4653803019387,13.8757989412192,9.55878908437645,2.350155080732,3.90779353871095,0,22.5142214815654,0,0,0,32.0548145397899
1971,"5602AR",276.153036010025,3552.81622987599,8.06615482909522,14.7932383982135,23.0209538788781,8.46020419008698,3.66008725791841,4.82176191503134,0.009131202682978,27.0917156181704,2.06459914045707,0,0,28.0841348345656
1971,"5603AC",478.109278395284,4128.22303507679,8.51161379824566,17.3273291351384,10.6564369153444,4.39151274471418,3.61598914094733,4.11298715784668,3,31.1929609170594,3.75195760177135,0,0,24.6348818873244
1971,"5603AD",575.068256577604,3143.42233933703,6.15699574487357,9.4848464972671,22.5753638310314,5.11585689379613,4.38401085905267,1.0655944842693,1,16.1145503572463,5.27464017644589,0,0.886064026482262,17.6686394064524
1971,"5603AF",607.829003561151,4987.60672333198,13.2973179737637,50.9554778355761,23.6847678092399,10.2909747337876,3,3.9703867289344,0,26.0773456497405,8.95843006760352,0,2.11393597351774,15.0896085984499
1971,"5603AG",341.530043621517,3336.28529582917,4.54485280323962,9.38671960669861,14.2492438659852,9.44169525404557,0.062807282813413,8.64739775736496,0.078413640817984,21.3915347865282,4.38521016281984,0,2.05529076939208,10.3298898612686
1971,"5603AH",586.895276241758,6173.90930371474,16.3881710764863,22.5492418956623,20.5815406737599,12.9943624211676,3.9729230344516,5.66775282918313,0.921586359182016,50.9319420216761,5.8563609698513,0,1.97806276453119,16.4322791020737
1971,"5603AJ",369.66769430534,4691.38552891642,17.4365608095414,14.7793228670349,13.0877452254004,5.01750793195527,0.027076965548395,8.65443543877168,4,34.9167046688546,4.15042340267258,0,2.74753530475038,17.2760133612092
1971,"5603AK",638.725866169405,3893.50121854878,9.34156557268067,16.0667551189034,24.7030210458816,12.907968035021,3.93213208630249,4.10722351706205,0,17.4670524514679,1.60442564825392,0,0.219111161326352,13.3638504156353
1971,"5604AD",234.813264853928,3207.94710844712,3.14712716102153,17.8716877243001,6.72493908304467,10.0282155510314,4.53921784479272,3.98593877787572,0.000082185762364,41.4164537340732,1.00049311457419,1.05198013625768,1,16.3089849530168
1971,"5604AE",278.578838407954,3487.08115897049,8.79531470133002,12.615459538701,15.9827366398674,14.3259941779651,7.71605698708632,7.17433728623487,0,31.6633012031216,3.51179806530509,0.742853243381624,0,24.7108757633426
1971,"5604AF",268.641953157236,2379.08029431891,8.52553734914779,15.091045871934,12.2570287045048,9.05733946532236,1.7746164599512,5.0063723693785,0,21.6366873773296,3.75474462009312,3.20516662036069,0,12.0254096396213
