"censusYear","zone","Channel Islands","UK part not specified","Irish Republic","China","South Africa","Africa other","Caribbean","South America","Other Middle East","Other East Asia","Other Europe","Rest of World","England","Scotland","Wales","Northern Ireland","Australia","Canada","New Zealand","Kenya","Zimbabwe","Nigeria","Bangladesh","India","Pakistan","Hong Kong","Malaysia","Singapore","France","Germany","Greece","Italy","Netherlands","Spain","Poland","Romania","Turkey","United States","Iran"
2001,"5706AL",2,0,12.8130552767775,0,16.7051657468721,6.4464421700693,2,1,1.5342379212705,6.9376850922592,7,4,417.418363762717,7654.6621528237,21.5510229882034,33.6923957416757,7,7.90593738995,3.39909883674848,0,4,2.98213850562704,0,1,25.0637451419907,5.0602179765214,1,1.93768509225916,3.8765726532817,31.9190365138739,0,7.91245722211741,3.9994339992902,2,9.90308709568186,0,2,12.9994339992902,0
2001,"5706AM",2.98743999731845,2,27.6941923078006,2,10.0967770640237,7.9981756363769,0,1,2.7493387006042,5.5264173661355,11.8250860800045,4.0045320363139,429.958710597788,9547.1903050733,21.8051070383184,43.635351877606,1.6412106943333,10.7416007034522,0.00166629220476,0,1.0238629638683,0,0,1.5090159983251,20.0060728382447,5.0550581458055,1,1.89916689669301,4.5914760168956,26.2425744634562,0,1.58501573772087,3.0322590204037,1.0011480563409,12.9895554845228,1,0,10.0000000018004,1
2001,"5706AN",4.01256000268155,2,25.9536148484952,1,20.9743962242548,15.0032172783593,0,2,6.2506612993958,14.7877224217379,10.7190234959615,2.6940702058475,849.586091865283,12885.5698432322,50.4384573006039,65.1643125972574,19.9783670613823,16.211956955566,4.4913703588167,0,5.97661566916202,2,0,12.3637512981692,26.9984889873117,15.5319113562414,5,5.78369018760098,6.3996409200061,51.0437198693056,1,1.00927109756799,4.4791099530644,1.6940702058475,11.06200773737,1,1,9.480931220517,2
2001,"5706AP",0.98470833098725,1,33.3738493503627,1,11.1737830497632,3.1470672914847,1,0.00895010208211,2,14.1629185968827,5.2515762224295,2.0046557262976,278.734353398984,6884.77191417888,12.3235276933779,23.2265751123556,5.0038583257805,6.02068177793721,2,2.0043779405485,1.99490822369842,3,0,5.9541249929617,2.9999999973592,0.7429460020215,0.16582863907501,7.99708995780772,1.0043779405485,19.0151911171163,0,6.9800607426235,1.2212751579976,0,12.8802115481943,0,0,7.1470672914847,0
2001,"5706AQ",0.01529166901275,0,12.819444522396,1,6.9438835485028,3.8529327085153,2,0.99104989791789,3.9551974893171,3.093289365733,2.9719842597777,1.9953442737024,244.97151169124,4771.63103629409,21.393470601394,18.0298227485842,3.9910498979179,3.97722507077382,1.48155732233072,1.9956220594515,1,1.89451919833007,0,2.0458750070383,1,2,0.03025967878944,1.00083742724228,3.9956220594515,8.9845430978777,0,4.03606369400693,2.5118757330165,0,3.96485032341511,0,0,9.3570197167433,1
2001,"5706AR",1,0,16.022889507988,0,7.88233340173402,1,1,1,2.0448025106829,8.7438147744103,6.7764395177929,4,205.040000815953,4945.84983494065,13.8699542753444,20.9648634700915,4,4.00209315128897,1.02540602664782,0,2,3.10548080166993,0,2,11.9954381770844,7.257069279181,2.80391168213555,2.00208789615255,0.0000458436076,14.9928570692897,0,3.97642882942473,0.0090143139191,0,4.0436002178934,0,0,1.0028837965739,0
2001,"5706AS",4.15436114468045,0,31.148955254138,0,8,2.4617517437315,1.99999999108228,1,2.994636945243,13,2.9854083444377,9,366.551651425473,8308.56931939207,10.984502302327,20.1533244236751,7.999999997405,5,0,1,0,0,0,3,13.9853212251745,4,8,5,1,24.148998072088,0,5.5076999073707,1.3087222893609,1,4.99995644036841,0,1.98540834443766,1,3
2001,"5706AT",0.8456388433201,0,16.8510011743262,0,2,1.7171635935223,0,0,0.005363054757,0,3.0000100839933,1,102.563384528645,2325.20515838915,3.2801242426724,8.1257088305177,3,0.13958211483376,1,0,2,0,0,4.0001090802831,3,1,0,0,0,7.8510122666941,0,1.4923000926293,1.6912776866402,0,4.00001008399333,0,0,2.0000548247652,0
2001,"5706AU",1,0,15.867723038194,0,5.87332120836799,4.021675860305,0,0,2.8900348369356,5,1,6.1273898979483,224.606181059766,4286.09712385571,8.7208407375932,13.7208407412917,1,4.78496050104656,5.00000000002527,0,2.99999999864732,0,0,2,0.0000000000253,2.856561521636,0,5,8,19.3983391554612,0,0,1.9961406901137,0,0.88203443820917,0,0,10.7634769248829,0.9999999995491
2001,"5706AW",4.00106407318922,0,40.3192216848408,0,15.5580392092295,11.9503029378551,1,1,1.5757272417939,3.0623149077408,1.0010640731892,2.8726101020517,494.132725523438,11007.0751004589,21.8481271115723,64.9638131845455,10,11.0819775008948,3.00005566101544,2,1.00000000135268,1.01786149437296,1,9.0000000003281,13.9852382442429,7.881529497421,1,1.06231490774084,1.1234273467183,34.5862774273686,0,5.00000000032813,3.0044253105961,2,6.11853156250059,0,0,7.2370890758108,0.0000000004509
2001,"5706AX",2.06844388099783,0,17.0285803184167,0,8.03202970351674,2.7061132183163,0.00000000891772,2,2,5,5.0411048942415,7,306.07016308191,6981.92224914153,13.014584356837,20.4107793674311,6.991936390515,3,0.99999999661445,0,0.99999999451223,0,0,10,17.0289544529434,7,2,2,2.0071378390589,9.0071378568944,0,3.03989046696925,2.9999927012747,2,5.00004355963159,0,2.01459165217679,2,0
2001,"5706AY",0.93025186067243,0,18.9718461159308,0.0003828747159,1.96797029648326,4,0,0,1.0003828747159,3,4.9721825029911,0,210.079745740253,5004.16679798861,9.0019571667277,20.5819086362011,4.0080636120801,5.00038287471588,0.00000000338555,1,1.00000000548777,0,0,4,18.9857243218821,0,0,3,1.9928621609411,11.9928621609411,1,2.9608752824625,0.0000072987253,0,4.00038287471588,0,0.00000000338555,2,0
2001,"5707AE",1,1.07168221049766,16.634915060294,1.0790655160197,16.0595633927864,7.4290229169748,0,1,4.0791145744321,8.2466014314666,5.9982181249998,7.9072067867676,449.315040271228,8753.2497612893,20.5613573020237,47.6478364001063,9.7592991804175,12.9194368130158,7.76023071348189,1.0000000341809,2.99999999742554,0,0.00953480936191,10.0109983521194,11.1100883197832,8.2252453495596,0.00953480936191,3,2,44.8438724611794,2.46473925661971,3.4166978219311,1,0,5.00000005021868,0,0.00000000000003,9.13943103948,0
2001,"5707AF",1.00011905035382,0,16.0697967274724,2.04286919742,3.00236323741055,2.819656233938,3.88602058752712,0,4.04286919742,5.0054984075607,2.0001812743732,6.8196563109229,321.229603536227,5272.27137531946,15.6363258556262,23.2147733867474,6.9982642679729,4.39381000071757,0,0,1.81965631092294,0,0,7.9888681277406,8.8185613684516,5.902862258612,1.00271808999974,3.00271808999974,2.9999999893746,17.6142491939397,1,2.0746067464517,0,1,2.71718162208964,0,0,7.0000000000137,0
2001,"5707AG",0.00012113478671,0,22.7848538848561,1.9567479277634,5.92112099741034,10.0091671859613,5.00234540502789,5.0135055241003,13.9122732952006,20.0137426904013,18.9775538362533,6.0047199761357,637.41582695978,6451.59287285895,38.5125369147129,51.7366212980612,13.7216098125605,23.6463817289734,5.94140715814702,2.97768543697559,2.00281679036009,0,0,7.0195820451152,9.9768553938754,5.8502994704142,0.01366207037243,3.99998630133577,1.0062757294657,27.0265710368052,2.9995827037613,6.91325856433204,4.0009596937186,1.0035165425697,6.25851845540118,1,0,11.9818685564667,0
2001,"5707AH",0,0.92831778950234,26.0123341445851,0.930469293443,6.9466263894117,11.1659915630831,8.11163400744499,3,1.9304202350306,10.9803074889426,6.001781875018,2.2803262752368,430.367761691093,7449.39066436029,30.7603367629457,35.8884110157363,4.0128906945497,11.7862876550431,5.23976928577717,2.99030429766638,0.1779982552171,0,0,6.0000002203293,16.093533203902,26.7747546504404,1.99728191000026,2.99728191000026,2,27.4317267403565,0.99995094416206,2.00178187500016,8,0,5.99030428172938,0,0.99999999999997,5.8605689919265,0
2001,"5707AJ",6.99741760341307,1.99096223312893,50.4723123988346,2.168215190877,18.0459325444824,9.168215190877,3,11.0188109917262,8.168215190877,19.5065319387796,16.3669607915405,17.1541606490884,836.394334581553,6346.3269127953,18.0075098633826,156.587443910459,14.0280567097113,13.333293563601,9,3,4,5.99218484005143,0.16821519087696,10.0308367465358,4.0000083496131,5.9954811165645,3.1628360582392,4.001255300184,12.001491315167,36.9977005204832,16.0092911452618,4,3.0027139220895,7.9954811165645,3.99412132690004,0,1,29.9901019839267,0
2001,"5707AK",0,0.00903776687107,28.0766613979695,2.8222499997611,9.01587850790559,8.4079469091658,3,6.73071506877792,4.8151839921419,17.2485733430331,19.9671167858623,10.8339300018486,485.297847595623,2704.26021488914,21.2572416419498,55.0984211440049,8.4132448513963,9.26151608749652,7.79585410710741,0.00586932395078,1.99952864607433,1.00781515994857,0.82224999976112,13.9832144328217,3.0009503085045,6.2513571544094,3.81396706202646,3.00001369866423,4.9922329659927,18.8374376057984,6.52643595019515,8.59251865538972,7.9963263841919,2.0010023408659,3.03653840522287,0,0,16.0280294282001,0
2001,"5707AL",2.9362172585715,0,26.6978760297261,1,16.0094246930911,14.898444201578,2.00028770825691,5.23696841526243,1.0515692188872,14.9643139518105,13.4231729397029,5.9998348706795,966.476666413812,4782.27432022715,35.2138181980925,53.3982877779641,14.0675200758688,13.364383157829,7.26273873548651,8.98795746715069,4.99999958478053,1,0,6.9283740000876,0.9998348706795,1.9824046699964,0.98240467004181,1.99999999973377,4.0000285787053,21.233666666805,0,0.0003705871354,7.0000000000205,0.0000000000102,2.00295298372233,0,2,31.0043411526007,0
2001,"5707AM",2.98138768230203,1,22.3661445494992,20.9876695402554,6.98764626490898,21.9770147177063,3.99971229193902,8.00375694146203,27.0052285441973,50.0261734988159,40.2933874651764,23.0111226915415,817.56318420281,4198.72028359718,27.9924241810897,77.8692518052452,15.0530151474766,33.244826033367,16.9960949262259,3.03818323259974,4.00314092897667,12.9987679752955,1.00751388265783,21.006212767812,8.0075138826578,8.0638679912776,5,4.99874470008223,13.2453747444096,41.9894375927769,46.0075138826578,11.1170487935535,10.0432988527583,12.981387682302,2.99609492622588,1,2.99999998868607,20.0093506999927,0
2001,"5707AN",10.018612317698,1,36.8861576676512,13.0123304597446,11.068020144634,13.0216340259623,4.02845321510763,3.99624305867109,23.9947777891185,42.9726464527242,46.955829037681,19.0173305235661,886.691178730547,5103.09717152483,34.0670516908902,236.411928473573,16.9459662862361,15.0037935731656,1.00390507377412,6.99999999995268,4.99685907102333,0.00123202470448,11.9924861173422,19.0319020852967,10.9924891732124,40.9334294952059,5.99864874324175,5,17.7546315889062,64.0066323181258,43.9924861173422,8.88295120644646,6.9565390550051,9.018612317698,2.06081150398939,0,1.00000001131393,38.9934212704436,3
2001,"5707AP",1,2,19.860551409622,0.8549623132016,15.0015866604699,10.853569568176,0.99284421815724,3,9.8691341072,9.9996943916335,5.0000000000699,2,743.488241182458,3758.60898078316,37.1508795565159,42.0006754201255,8.0095003636779,7,1.00297940478546,3.99396505972896,4.00000000025997,0.00000000025997,0,15.57861866445,2,5.8579417177271,3,1.00112090086199,4.0141718063572,16.8451825678432,1,4,3.0000000002097,1,5,0,0,11.9976127729659,2
2001,"5707AQ",4,0,18.1677921785845,3.1450376870584,6.00024349297933,8.1475513319002,10.9999999411095,0,7.1457469399813,15.000000000965,4,9,778.739623080734,2899.00846765257,30.8733390194697,44.0023318589994,33.9969244021209,7.99996097680838,1.99702059521454,4,2,1,1,10.4354942877427,2,7.1427675351959,5,3,5.9999999876412,72.1618342307528,1,2,9.0001620922366,0,3.00212775876886,0,0,20.9996152563093,1
2001,"5707AR",0,0,8.9715865879611,0.9999999995721,5.99887909868198,4.9988790995878,2.00715584053733,0,1.9857932935526,6.9988790991099,2.0000000001,2,318.727699018707,1572.30653646588,6.9715865875332,12.9978631741929,2.9929491345679,6,1,2.00603494018725,0.9999999995721,1.9999999995721,0,2.9858982690979,2,0,1,2.99887909910988,0.9857932939805,9.9929491345179,0,0,2.00000000005,0,3,0,0,5,0
2001,"5707AS",3,0,20.1251377107349,1.0000000001679,7.06281654947299,3.9999999999623,0,2,3.0000000001679,5.0004953889736,7.0624862904273,4.0001651293205,586.507927459475,2804.84281897743,22.3129268409486,21.0004953879615,5.0000000004221,7,1.06248629049615,0,2.00000000016793,2.00000000016793,0,5,0.0001651293205,4,0,1.00000000016793,2,17.0000000012433,1.06248629049615,4,3.9999999999541,1.999999999977,1,0,1,10.000330258641,0
2001,"5707AX",3.99999999979723,0,12.8751027103533,0,0.93751370950385,4.0000050724001,1,1.00000466550785,0,4.0002159550018,2.9369633275685,1.0000702192845,470.497601100434,1491.17394262967,20.6875740259496,20.9996562414481,10.999999998862,2.99999999985881,5.93758433547754,1.00000466533954,1,1,0,3.0000004065179,1,2.9999999995705,2.00021595596489,0,0,4.0000144021608,0.93751370952607,0.99999999978523,3.9999999998571,0.0000000000127,0,0,0,7.0000016278233,0
2001,"5707AZ",0,1,18.0007176416662,2,10.004947443937,9.0005689174131,3.99917956507627,4.0000000004192,5.9993191717964,9.0033165351904,11.0039051973313,4.9998603932799,610.095172560157,3629.15541042748,34.9997272280997,35.8730370288322,7.0026890288117,7.00055829042788,9.00252967736378,5,2,1,0,9,1.0005689174131,2,2,3.00331653519041,5.0019444373806,17.0063832485925,1.0000000002096,2.00056891741309,4,1,3,0,0.9987675089103,9.8653152599462,1
2001,"5707BA",1.06636513801543,1.00026267416076,21.001232489555,0,13.9969388165892,6.1018184721834,2.00013960672012,3,0,5.0351906600378,8.0179355006479,2.0001396067201,629.780931805448,3914.74398104985,23.0489094983967,37.2762405396752,8.001232490353,8.04876980804247,6,2.00000008486802,4.00000016973605,0,0,10.0000000000306,5,2.0164873778808,2.0175953300036,2.00000000003064,1.0013720978098,15.0132396313378,0,2,9,1,2.99999999959475,0,1.0012324910897,14.1300024563435,2
2001,"5808AA",0,0,10,0,5,1,0,0,0,3,2.9995851099006,4,1610.97730075015,2029.98651185858,13.0000584741006,13.0000584741006,3.0000584741006,2,2.9995851097956,0,2,0,1,8,0,1,2,0,1,16.9995851099006,0,1,1.0000000002101,1,0,0,3,0,0
2001,"5808AD",2,0,16.0077255337887,0,3.00000026917165,9,0,0,1,10,5.9999741146961,4,859.153479435107,2653.40007822921,23.015451336693,20.0077255337607,3.0000001345858,7.00772553376066,4,2,5,0,0,6.0000002691717,2,0,3,3,2,12,1,3,2.999999999944,0,0.99997411469613,0,0,3.0000001345858,0
2001,"5808AE",1.99998980032216,2.99999999460397,30.7558314979673,1,8.68814179793568,1.990414816141,0,4.2960391171078,2,5,4.296039363721,3,748.690633260383,3616.62642388524,25.5778523741391,53.9993353868688,7.5850851097329,2.78746586721768,1.2960391171078,0,0.99999999460397,0,0,9.7969014676154,0,3,3,1,3,10.6933178037751,0,0,0.0018695425177,1,0.00000023998901,0.693844913831327,0,2.9999998645536,0
2001,"5808AF",2.00001019967784,0.00000000539603,10.0017066545085,0,4,3.9994692150953,3,0,1,8,20.0000256386907,2,699.997692987407,4205.92220141847,22.0004997603335,33.998830219193,3,6.00171033445582,2,2,3.00000000539603,0,0,9.9999999986752,1,7,1,3,0,10.0005271103534,0,1,4.9981304574823,3,1.00002564531485,0,0,1,0
2001,"5808AG",1.00049948698901,2.99929465225248,9.0262185562681,1,0.99929465225248,3,0,0,1.9999999994564,2.000499486989,1.0004148902044,1,781.253221528386,2220.63802585587,15.9985308304044,30.0256605957222,1.9999415258994,3.99858930450496,0.0004148902044,1,0,0,0,1.9992946522525,0,1,1,0.00049948698901,0,13.9996647144968,0,0,2,0,0,0,0,6.9992946522525,0
2001,"5808AH",1,0.00070534774752,12.9929761785249,0.1421331503272,2.99018798136002,3.0767843453748,1,0,0.1421331503272,3.9306393036966,10.0710665751636,2,751.890666819246,4621.73513835736,12.1453315118745,26.7388701757707,3,1.93383766524386,0,1,2,0,0,9.9722451335853,1,2.2131997254908,1,2,2,14.8349779389745,0,2.04260636100135,0,1,1.07106657516359,0,0,5.0046354519064,0
2001,"5808AJ",1,0,14.9813047505651,1.8578668496728,7.0105173663875,4.9232156546252,1,1,2.8578668496728,7.0693606963034,6.9289334248364,4,1170.67038649462,5503.4924866962,24.8560791836205,25.9779329753786,8,6.06757303025117,2,2,2,0,0,4.0284602141622,5,9.7868002745092,1,2,2,20.1657722351023,0,3.95739363899865,2,1,3.92893342483641,0,4,3.9960698958411,0
2001,"5808AK",1,3,4,4,8,5,1,3,8,2,5,5,720.00000112735,2230.0000032354,22,14.0000001470901,3,7,3,0,1,0,0,1,6.9999999999847,2,0,2,1,13,1,1,3,2,5,0,0,9,0
2001,"5808AL",0.99950051301099,0,0.9995005146418,0,0,3,0,0,0.0000000005436,0.999500513011,3.999999999895,0,642.960041071575,702.94755389158,5,5.0000000010872,2,1,1,0,0,0,0,1,0,0,0,0.99950051301099,1,4.0000000015258,0,0,1.9999999997899,0,1,0,0,0,0
2001,"5809AA",1,0,19.1007378182758,0.0889216060835,12.958895910569,8.0060717536641,1,3.59854154860607,0.1582309072797,5.9999858419711,6.0311604754795,4,601.50505298581,4856.73376157009,24.8499731010267,34.0990411249327,7.0441614547476,3.97133160488155,2,0.89963538715152,1,1,0,7.3219343537332,4,5.9541394507276,2.99998584197114,1,3.9989759765602,30.1891153668826,0,0.9812594164224,2.01916342182,0.9838867090404,3,2.98388670904036,2.99933318887658,6,0
2001,"5809AB",1.98335870070499,1,14.1254778330121,1.8992654712832,7.00042771838554,10.1288174090667,0.98335870070499,1.40145844537013,2.9154962825911,5.1621000076567,1.0000000021232,0.1621000076567,220.00713499087,1993.45073139155,8.0463431218434,15.7846841690438,3.9369186847399,1.0837233156767,0.1621000076567,1.10036461284848,12.9626198061667,0,1.97638440933241,2.2587879260607,0,4.9953644288832,1,1,0.0000000021232,27.0417368655664,0,7.02807584419625,0,0,1,0,1.0092929191607,6.1621000076567,0.0058899212451
2001,"5809AC",0.00229235584905,0,16.4681709573604,0.0118129226333,10.2222939505121,9.1296788201408,1,0,2.9055339177141,7.0000141580289,9.9688395245205,5.000837951355,740.345474387126,5991.00302744633,12.398282719549,64.8507566827671,8.4615919998661,9.1314020468078,3,0,1.00083795041785,0,0,10.6223759847439,0,6.0020480468796,2.00001415802886,2,2.0010240234398,28.1094631177101,3,8.89904872899958,0.98083657818,2,5,1.96399747859385,2.99120936988366,5.0000000008605,0.3149460564087
2001,"5809AD",3.01434894344597,0,46.5403497050873,7,16.105407870584,18.7294346949325,4.01664129929502,0.703960888916,9.020738892415,14.854464280612,12.7370894573063,12.8370620409883,1227.78650686499,9509.08751250685,40.0471444225208,105.566825425275,9.9722426163276,14.0166412971718,5.54186087523551,5,11.0365422434154,0,3.02361559066759,15.0331285765374,12,35.0236155906676,3,6,3.9999999978768,50.9064151725995,0,10.0791997689608,3,0,2,2.34215760757482,1.00016452207906,9.8378999923433,2.6791640223463
2001,"5809AE",2.00000006032442,1,26.8629173380523,0.9553811094785,12.041361602079,9.1379916620183,2,3,5.9553811094785,12.1259104130398,7.2518208260796,1,512.282722988503,4124.46566789296,23.8919316823418,35.8975891910354,6.7174552951349,7.9553811094785,3.10725952086659,3,7,0,0,5.2825529672313,4,4.0000000603244,3,4,3,17.931974336868,1,7,3.9058184317116,1,3.03073214115169,0,0,4.0307322014761,1
2001,"5809AF",0.95754182723423,0.95754182723423,12.5480426005202,0,7.80802013729784,3.0255809274523,2,3.00542849443411,0,7.6962549908105,9.0966542443028,2,427.172163615621,1998.50425066794,17.8273198099832,45.9106765092273,2.7798435809897,1.77170083933852,2.94427690440634,3.96250266279842,0.92479334049359,0,0,4.054196071537,3,1.9193648460595,0.91936484605948,0,0.9709012714616,11.0480505954463,0,1,0.9629703216683,1,1.00271424721705,0,0,7.8232372647406,0
2001,"5809AG",5.00070310378824,0,22.3004846428713,0.0446188905215,10.8221110595354,7.0398107190929,5.97845046032379,3.97866312572438,2.0446188905215,5.0001212062063,11.0002424124127,5,545.030472316004,6066.50121161095,17.0967137088083,51.4431249147116,8.2496405563391,9.04504422132268,1.9884327258787,1.99999999997913,1,0,4,3.9694805242489,4.8666515920992,2.9999999396756,1,1.00012120620635,1,33.2646523150447,0,2.00021266540059,0.0941815682884,1,6.02499230796213,0,5,3.969267798503,0
2001,"5809AH",2.99929683588735,0,31.0511170610679,1,6.16135982122767,4.909232238612,0.02154953967621,4.98499868204342,1,15.8545260248649,7.9997575875873,5,719.731673426092,6530.14400638739,24.0394695804562,58.7889899260052,5.0329041485261,8.99957466919882,1.01156727425044,0.96366180778867,2,0,0,4.9997873345994,1.1333484079008,5.024832482842,1.9636618077678,3.99987879379365,3.9273236155356,39.0773169531916,0,4.01220357602042,2,0.0161132909596,3.94427555088618,0.016113290959641,2,7.0000000000209,0
2001,"5809AJ",1,0,3.0003890638947,2,2.00019453194732,3.9946920479242,0,4.88388490550151,2.8838849055015,8.0001945319473,5.0000000000364,2.9999999999467,444.596571376521,1491.84999866309,10.0114488429137,24.7502332990289,5,3.03001748923309,2.87838242147835,3.76776981100302,0.03001748923309,0,0,5.9999999999467,2,0.0001945319473,1,3,8.8838849055015,42.8844685014891,0,0,2.981431353734,0.0001945319473,0.88388490550151,0,0,4.0016752052953,0
2001,"5809AK",0,0,9,0,1,1.0016636957195,0,0,1,5,5,6,418.70613188491,2079.74518294673,6.0113457959168,16.0747176408645,3,0.98137983020886,1,1,0.96998251076691,1,1,0,0.0016636957195,0,0,2,0,3,0,0,2.018568646266,0,2,0,0,5.0097221142194,0
2001,"5809AL",1,0,8,0,2,1.0055024840232,1,1,0,3,2,1.0013112783706,368.800842264029,4266.3023677262,10.9764829643945,23.943829967754,2,5.98824148217056,0.00550248402316,2.00131127831724,1,0,0,3.0000000000533,3,2.0013112783172,1,2,0,14,0,0.00131127831724,0,0,2,0,0,2.9882414821706,0
2001,"5810AA",0.04245817276577,0.04245817276577,2.2374383574883,0,5.19045968702801,1.8666528263273,0,1.99457150556589,1,1.161270307881,1.6173829026308,0.0000000004284,249.249813664825,950.98459995928,10.1721734656488,20.6903493660251,3.2201564190103,1.22829916066148,1.94846357459792,3.03699061197686,2.07520665950641,1,0,1.6598410758249,0,0.0806351539405,0.08063515394052,1,2.0290987289668,2.7374303625622,0,0,2.0370296783317,0,0.99728575321131,0,0,4.1767627352594,1
2001,"5810AE",1,0,17,2,9.00152017567416,5.0005067252247,2,1,2,6.02292104119,4.0010134504494,2.9999999995716,1028.73248553707,4181.21553333481,26.0005067151896,38.0015201664958,2.9999999908216,4,2,1.00050672522472,4,1,0,7.0009238407375,0,5.9999999908216,0,4.02292104119,3.9999999995716,22.0226522041609,0,14,1,2,4.99999999957163,0,0,6,0
2001,"5810AF",3.01636072247161,0.01636072247161,13.0163607224716,1,5,5,2,1,3,4,8,2,1125.60534673145,3959.88148308423,23.0163607224716,44.0490821674148,9,13,5,0,6,0,0,9,2,4,1,2,7.0163607224716,33.0163607224716,2,1,3,1,2,0,0,10,1
2001,"5810AG",3.0000062596618,0,13.1907908485886,3,3.9948627677458,6,1,2,5,5.9848872212762,3,2,827.236838134677,4452.83221073625,17.2559166347505,47.0170796746171,7.055176398876,6,2,5,3,0,3,5.999501626628,1,4.0000000091784,3.00780826246618,0.97707895881,2,23.0259106673672,0,2,0,0,0,0,1,5.9994120173444,0
2001,"5810AH",1.98363301798837,0.98363927752839,13.9637060572407,0.9999999999902,4.17424314988308,2,0,3.98700388613147,2.9999999999804,1.0000000004736,4.9870038862532,1,621.526223226396,1624.2084322677,17.9157436876821,44.4608528101042,6.1268750230034,6,1,2,1,0,0,2.9875918687871,0,0,1.00000000035182,0,0.9836392775284,12.1093195558834,0,0,7.0000000003555,0.0000000001218,0,0.17424314988308,0,9.0005879826556,1.9999999999902
2001,"5810AJ",1.00157991530883,5,19.0045763731354,0,10.0049427003069,6.0377235757328,0,0.15245328673069,2.1161150944985,16.1373499740244,8.9999065458444,5,1019.09957456624,2796.36555742293,17.0241402218276,28.4343634186941,4.992191737182,6,3.11611509449849,2.26856838122918,2,0,0,9,1,0.9998054680527,9.0285299294142,2,7.1887914789629,18.1151576825904,0,1,4.9999999995827,2.9998054679136,0.11611509449849,1,1,9.999813091967,1
2001,"5811AC",1,1,16.9980123344716,1,4,4,3,1.99791434170522,2,2,3,1,612.863690641999,3458.62829198606,28.9960246689433,58.9854983847626,3.0000000000298,5.99801233450148,3.99791434170522,1,0,1,2,3.9979143417052,0,7,0,1,3.9958286834104,11,0,4,3,1.9958286834104,3,0,0,5.9979143417052,1
2001,"5811AD",1.00000000001732,0,3.8257568501169,0.0000000000098,2.82575685011692,3,0,1.01508177216332,0.0000000000196,2.0000000000173,1.0129961138859,3,305.121244289871,908.51749355507,5.8257568501267,13.5027806137752,1.8257568500007,3.99999999988383,2.00208565829478,0,1,0,0,2.0150817721633,1,0,0,1,3.0041713165896,2.8257568501169,0,0,0.0000000000618,0.0041713166069,0,1.82575685011692,0,0.0020856582948,0.0000000000098
2001,"5811AE",0,0,7,3,3,2.9999999999334,1,1,3,2,2.0042455373329,0,442.391852564641,1775.81973489071,10,20.00740103552,4,1.00424553739945,0.02960414287894,1,0,0,0,1,0,0,0,1,0,8,0,0,1,0,1,0,0.0084910747989,3,0
2001,"5811AF",4,0,11.0019876655284,0,1,3.0000000000666,0,1,0,1,3.9957544626671,1,597.677715728851,2275.42474796927,13.0039753310567,42.9945866300083,0,0.9977421281289,6.97039585712105,3,2,0,0,1,0,1,0,1,1,3,0,0,3,0,0,0,1.9915089252011,4,0
2001,"5811AG",2,0,4.0015556933323,0,3,3.0016572749223,1,0,0,3,0,0,356.012341478829,1478.09072006277,12.0015556933323,32.0045035925303,3,1,0,1,1,0,0,0,0,0,0,2,0,4.0027345693544,0,0,2.0020013397103,0,0,0,0,3,0
2001,"5811AH",0.97992515110755,0,25.1082215051543,0.9982577359827,3,2.9128702345823,0,3,3.1869410664457,2.965619117806,5.9181941709988,1.8695026592538,332.977839886872,5476.31548096038,12.3711289924228,99.3879069482233,1,5.20442836097546,1.23170942081872,1.18868333046295,1,0,0,0.9223581417083,4,0.9982577359827,0.99051209287398,1.97510702493197,1.9982577359827,15.6583168613949,0,4,0.0150458229652,1.9598503022151,1,0,2,6.1869410664457,0
2001,"5811AJ",7.0379492833704,2,18.9083576814608,1,2.00000000015674,8.027362341604,1,2,1.811316669537,2.034380882194,4.0041559025043,2.1304973407462,501.650635723594,3769.374713731,14.7037800111273,87.7212182393812,2.999362554596,4.83131243977532,0.76829057918128,1.81131666953705,1.00000000007949,0,0,3.9993625545165,1,0,0.00948790712602,1.02489297506803,1,16.1853416329582,0,1,2.9979986602897,0.0401496977849,1,0,1,0.811316669537,0
2001,"5811AK",2.98212556552205,0,8.0021654384707,0,2,0.982125565522,1,0,0,1,3,2,487.321284152048,1900.49746437819,9.9285022622728,69.8234210943374,2.0000000000923,1.96425113104409,0,0,0,0,0,0.0000000000923,0,0,1,0,0,6,0,0,1,0,0,0,1,4,0
2001,"5811AL",0,2,10.9812553749142,2.0017422640173,3.99999999984326,1.0776418582917,1,0,2.0017422640173,6,1.0776499264968,4,393.056064574695,3177.82163309499,11.996588734177,134.062928767683,3.0006374453117,1.00000806820513,1,0,0.99999999992051,0,0,1.0782793036829,0,2.0017422640173,1,2,3.0017422640173,9.156819904547,0,2,0.9849541770348,0,0,0,2,2.0017422640173,0
2001,"5912AB",0,0,10.011670294419,0,2.01200402033891,1.0015426393299,1.99968764047497,0,0,5.0057662700094,4.0062591167244,3,215.206262581443,3006.83193888787,4.0287503288649,13.9856962817984,5.0000213663949,2.00576627000936,1.00155757431724,0,0,0,0,1,12.0590810521499,5.0000213663949,0.00002136639488,2,1.9996662740801,8.9940471566093,1,3,0.00051421311,0,5,0,0,1.0049079739091,0
