"censusYear","zone","econActive","unemployed","percentEmployed"
1971,"01AAFA",160.878624714558,0.89680241403561,99.44255962181
1971,"01AAFQ",480.067536998569,4.38723570919873,99.0861211452397
1971,"01AAGB",2119.13021796952,115.233667000429,94.5622186865495
1971,"01ABFA",5617.37839574594,269.825300704322,95.1965973859147
1971,"01ABFB",5983.89284181591,269.584137832443,95.4948368067595
1971,"01ABFC",6165.41329489257,241.040397796351,96.0904421769092
1971,"01ABFD",2526.3570514198,102.553214699692,95.9406682186092
1971,"01ABFE",4064.1328387703,191.836325118565,95.2797722729799
1971,"01ABFF",3323.6203009048,173.874816645378,94.7685114151564
1971,"01ABFG",4441.63873530724,250.484952744811,94.3605284519502
1971,"01ABFH",3947.77886300596,265.73310865396,93.268794482282
1971,"01ABFJ",3697.10056996178,162.856911989338,95.5950099569236
1971,"01ABFK",3306.83778692878,128.886306477233,96.1024303343003
1971,"01ABFL",3729.91418179898,145.071638721868,96.1105904412016
1971,"01ABFM",2145.97690727197,125.300434210128,94.161147131382
1971,"01ABFN",3060.12068218566,172.935111054631,94.3487486600982
1971,"01ABFP",3428.54487438382,166.58577454095,95.1412106113708
1971,"01ABFQ",6452.89401829827,246.816663851461,96.1751012312992
1971,"01ABFR",4629.04954497645,144.362689371755,96.8813751512247
1971,"01ABFS",6299.6508871881,306.376214359385,95.1366159832368
1971,"01ABFT",4195.88439248894,185.631353566049,95.5758706341302
1971,"01ABFU",3358.31244587495,137.294922457533,95.9117882963459
1971,"01ABFW",6620.26714850062,291.474565486769,95.5972386166806
1971,"01ABFX",4600.02443576669,234.901903429348,94.893464008519
1971,"01ABFY",2861.28432428109,130.405209796609,95.4424239251591
1971,"01ABFZ",4289.91142160024,218.804110121992,94.8995657807692
1971,"01ABGA",3849.05808277118,188.784057583423,95.0953180356399
1971,"01ABGB",6295.61481691204,250.321943668154,96.0238681852691
1971,"01ABGC",3852.26873066954,178.541178540014,95.365297931617
1971,"01ACFA",3435.90793512032,172.36222834662,94.983502713073
1971,"01ACFB",5838.14174592049,253.924318442974,95.6505968937735
1971,"01ACFC",5965.95637510869,304.059526222547,94.9034235736092
1971,"01ACFD",4486.82399999701,203.060086925487,95.4743023812474
1971,"01ACFE",4920.28451498561,213.83113736499,95.6540899878101
1971,"01ACFF",4329.32913829567,201.926144715693,95.3358560122046
1971,"01ACFG",4249.27564099215,210.865540764787,95.0376120877969
1971,"01ACFH",3423.98959884705,120.812252836619,96.4715940469767
1971,"01ACFJ",1937.50730368188,98.4471755673585,94.918874608613
1971,"01ACFK",4299.18121623463,206.349445005224,95.2002617562153
1971,"01ACFL",5147.6251186966,218.177760187279,95.7615841255643
1971,"01ACFM",5973.36158025956,224.27883132998,96.2453498199211
1971,"01ACFN",3573.14558819385,160.5562478809,95.5065853344627
1971,"01ACFP",4850.95685307808,237.422283792117,95.1056607802754
1971,"01ACFQ",5135.03119615701,253.017454113128,95.0727182669799
1971,"01ACFR",5310.88085734092,239.306562623783,95.4940325521895
1971,"01ACFS",4540.20603782577,211.080630936806,95.3508578866635
1971,"01ACFT",3287.07773176462,154.924813201986,95.2868527657599
1971,"01ACFU",4264.79249269901,182.033483247228,95.7317153517116
1971,"01ACFW",5146.62554379997,225.970304694481,95.6093501893352
1971,"01ACFX",5541.74941200856,266.865049762039,95.184461982641
1971,"01ACFY",3408.23859742078,158.994393136071,95.3349981642602
1971,"01ACFZ",5560.78167897708,232.522059561444,95.8185364399306
1971,"01ADFA",4923.58897108652,301.42113826035,93.8780198747209
1971,"01ADFB",4032.11735054555,201.342946811472,95.0065206613039
1971,"01ADFC",3813.53753214348,193.576217364046,94.9239724079694
1971,"01ADFD",5736.31379417522,347.045546106724,93.9500250760493
1971,"01ADFE",3915.20583159179,142.51192421065,96.3600400504944
1971,"01ADFF",6230.42409574918,318.832219904591,94.882656220431
1971,"01ADFG",6798.85603072317,338.303082155782,95.0241175776185
1971,"01ADFH",3073.14307841161,107.660232420957,96.4967386914962
1971,"01ADFJ",4914.98338293657,202.830044628118,95.87323030771
1971,"01ADFK",4544.45155475234,252.95050246455,94.4338607328748
1971,"01ADFL",4077.9024122326,212.191855936869,94.796544044302
1971,"01ADFM",3469.0656525128,161.169422429343,95.3540970805035
1971,"01ADFN",3273.54427710586,154.002520827238,95.2955418411694
1971,"01ADFP",4961.66689169219,188.689569337912,96.197052856292
1971,"01ADFQ",4405.21103290673,193.331124576196,95.6113084451114
1971,"01ADFR",3971.84370618531,199.992444140148,94.9647453692928
1971,"01ADFS",3490.31404453502,146.070287401891,95.8149815306562
1971,"01ADFT",4001.19549922018,155.573806293514,96.1118169226214
1971,"01ADFU",4313.13103016593,137.057154551326,96.8223280583699
1971,"01ADFW",4218.57971421209,172.958330190423,95.9000814988102
1971,"01ADFX",3477.67148381606,171.992532609302,95.0543766595063
1971,"01ADFY",5004.1361066642,285.395611886332,94.2968055663742
1971,"01ADFZ",5962.70582386651,292.298895248947,95.0978816684368
1971,"01AEFA",6703.74318032961,245.671524069403,96.3353082380861
1971,"01AEFB",4155.75998579796,179.346688012338,95.6843829137091
1971,"01AEFC",6829.44559163466,232.88242535556,96.5900244429677
1971,"01AEFD",5690.09776454814,219.695586587052,96.1389839739511
1971,"01AEFE",6229.80421647974,216.134699439389,96.5306341591338
1971,"01AEFF",6323.83163541636,257.263673207762,95.9318386693446
1971,"01AEFG",6188.59223209943,222.149228710177,96.4103430896946
1971,"01AEFH",3904.17512269793,138.072281795411,96.4634710929668
1971,"01AEFJ",8745.18601916824,347.2381918748,96.0293790079056
