"Zone Code","UV0280002","UV0280012"
"00NCQE0003",85,0
"00NCQE0004",90,0
"00NCQF0001",112,5
"00NCQF0002",147,15
"00NCQF0003",151,3
"00NCQF0004",67,3
"00NCQF0005",211,8
"00NCQG0001",117,4
"00NCQG0002",123,9
"00NCQG0003",121,5
"00NCQG0004",131,8
"00NCQG0005",136,7
"00NCQG0006",124,9
"00NCQG0007",145,8
"00NCQH0001",155,6
"00NCQH0002",187,9
"00NCQH0003",101,8
"00NCQH0004",130,5
"00NCQH0005",195,0
"00NCQJ0001",141,6
"00NCQJ0002",120,4
"00NCQJ0003",178,3
"00NCQJ0004",94,6
"00NCQK0001",149,7
"00NCQK0002",123,5
"00NCQK0003",140,5
"00NCQL0001",134,15
"00NCQL0002",124,8
"00NCQL0003",90,18
"00NCQL0004",157,16
"00NCQL0005",117,13
"00NCQL0006",129,20
"00NCQM0001",118,3
"00NCQM0002",82,5
"00NCQM0003",130,7
"00NCQM0004",89,0
"00NCQM0005",73,3
"00NCQM0006",130,8
"00NCQN0001",136,5
"00NCQN0002",137,7
"00NCQN0003",182,13
"00NCQP0001",93,19
"00NCQP0002",117,3
"00NCQP0003",79,14
"00NCQP0004",127,4
"00NCQP0005",105,9
"00NCQP0006",121,7
"00NCQP0007",127,7
"00NCQP0008",90,11
"00NCQQ0001",109,15
"00NCQQ0002",128,5
"00NCQQ0003",128,8
"00NCQR0001",147,5
"00NCQR0002",120,9
"00NCQR0003",114,7
"00NCQR0004",148,8
"00NCQS0001",157,6
"00NCQS0002",117,5
"00NCQS0003",74,5
"00NCQS0004",143,16
"00NCQS0005",155,12
"00NCQS0006",101,3
"00NCQT0001",158,16
"00NCQT0002",154,7
"00NCQT0003",124,13
"00NCQU0001",104,9
"00NCQU0002",135,14
"00NCQU0003",118,10
"00NCQU0004",91,8
"00NCQU0005",90,8
"00NCQW0001",121,13
"00NCQW0002",138,16
"00NCQW0003",153,11
"00NCQW0004",114,3
"00NCQW0005",173,12
"00NCQW0006",112,9
"00NCQX0001",130,13
"00NCQX0002",129,9
"00NCQX0003",168,8
"00NCQX0004",134,11
"00NCQX0005",148,11
"00NCQY0001",114,16
"00NCQY0002",128,3
"00NCQY0003",124,28
"00NCQY0004",126,15
"00NCQZ0001",139,8
"00NCQZ0002",155,6
"00NCQZ0003",150,8
"00NCQZ0004",80,3
"00NCRA0001",139,0
"00NCRA0002",100,4
"00NCRA0003",113,4
"00NCRA0004",114,4
"00NCRA0005",97,20
"00NCRB0001",126,6
"00NCRB0002",117,7
"00NCRB0003",133,3
"00NCRB0004",143,7
"00NCRB0005",103,12
"00NCRC0001",102,5
"00NCRC0002",136,6
"00NCRC0003",100,9
"00NCRC0004",146,11
"00NCRC0005",95,7
"00NCRC0006",98,0
"00NCRD0001",220,6
"00NCRD0002",126,7
"00NCRD0003",116,5
"00NCRD0004",119,6
"00NCRE0001",248,16
"00NCRE0002",174,9
"00NCRF0001",152,13
"00NCRF0002",158,14
"00NCRF0003",112,12
"00NCRF0004",176,13
"00NCRF0005",165,21
"00NCRF0006",165,13
"00NCRF0007",142,13
"00NCRG0001",143,4
"00NCRG0002",128,3
"00NCRG0003",130,13
"00NCRG0004",120,16
"00NCRG0005",154,5
"00NCRG0006",79,10
"00NCRH0001",100,12
"00NCRH0002",140,7
"00NCRH0003",145,9
"00NCRH0004",121,5
"00NCRH0005",131,11
"00NCRH0006",131,18
"00NCRJ0001",90,6
"00NCRJ0002",122,8
"00NCRJ0003",118,11
"00NCRJ0004",121,4
"00NCRJ0005",122,16
"00NCRJ0006",119,5
"00NCRJ0007",122,9
"00NCRK0001",105,3
"00NCRK0002",141,7
"00NCRK0003",73,6
"00NCRK0004",135,19
"00NCRK0005",103,4
"00NCRL0001",117,13
"00NCRL0002",124,8
"00NCRL0003",111,4
"00NCRL0004",111,5
"00NCRL0005",60,5
"00NCRM0001",97,8
"00NCRM0002",81,7
"00NCRM0003",104,9
"00NCRM0004",104,12
"00NCRM0005",41,0
"00NCRM0006",153,9
"00NCRN0001",91,3
"00NCRN0002",156,12
"00NCRN0003",47,0
"00NCRN0004",139,13
"00NCRP0001",91,3
"00NCRP0002",125,5
"00NCRP0003",100,3
"00NCRQ0001",152,15
"00NCRQ0002",94,9
"00NCRQ0003",111,7
"00NCRQ0004",159,9
"00NCRQ0005",137,11
"00NCRQ0006",160,17
"00NCRQ0007",130,8
"00NCRR0001",192,4
"00NCRR0002",182,10
"00NCRR0003",148,15
"00NCRR0004",229,4
"00NCRS0001",109,8
"00NCRS0002",90,4
"00NCRS0003",138,6
"00NCRS0004",125,6
"00NCRT0001",79,3
"00NCRT0002",93,5
"00NCRT0003",76,9
"00NCRT0004",147,10
"00NCRT0005",148,8
"00NCRT0006",101,5
"00NCRT0007",107,3
"00NCRT0008",70,0
"00NCRU0001",141,13
"00NCRU0002",141,12
"00NCRU0003",120,15
"00NCRU0004",100,7
"00NCRW0001",127,10
"00NCRW0002",138,14
"00NCRW0003",162,7
"00NCRW0004",155,6
"00NCRW0005",162,6
"00NCRW0006",104,9
"00NCRX0001",111,3
"00NCRX0002",133,5
"00NCRX0003",178,4
"00NCRY0001",138,9
"00NCRY0002",170,8
"00NCRY0003",147,7
"00NCRY0004",140,8
"00NCRY0005",130,14
"00NCRY0006",152,4
"00NCRZ0001",149,6
"00NCRZ0002",160,4
"00NCRZ0003",137,8
"00NCRZ0004",121,3
"00NCRZ0005",124,4
"00NCRZ0006",149,5
"00NCSA0001",130,24
"00NCSA0002",93,13
"00NCSA0003",134,25
"00NCSA0004",123,14
"00NCSA0005",139,15
"00NCSA0006",114,16
"00NCSA0007",103,18
"00NCSA0008",133,19
"00NCSB0001",130,12
"00NCSB0002",123,4
"00NCSB0003",141,11
"00NCSB0004",358,3
"00NCSB0005",103,10
"00NCSC0001",73,7
"00NCSC0002",141,6
"00NCSC0003",126,10
"00NCSC0004",127,10
"00NCSC0005",136,0
"00NCSC0006",129,11
"00NCSC0007",96,7
"00NCSC0008",88,0
"00NCSD0001",147,7
"00NCSD0002",175,4
"00NCSD0003",82,6
"00NCSD0004",87,3
"00NCSE0001",129,11
"00NCSE0002",107,12
"00NCSE0003",90,14
"00NCSE0004",118,3
"00NCSE0005",109,9
"00NCSF0001",137,13
"00NCSF0002",110,16
"00NCSF0003",157,4
"00NCSF0004",115,8
"00NCSF0005",147,17
"00NCSF0006",104,6
"00NCSF0007",104,6
"00NCSF0008",126,11
"00NCSG0001",97,30
"00NCSG0002",147,32
"00NCSG0003",152,15
"00NCSG0004",132,19
"00NCSG0005",113,16
"00NCSG0006",107,20
"00NCSG0007",96,30
"00NCSH0001",144,16
"00NCSH0002",210,14
"00NCSH0003",107,12
"00NCSH0004",233,9
"00NCSH0005",194,15
"00NCSJ0001",85,0
"00NCSJ0002",112,11
"00NCSJ0003",152,6
"00NCSJ0004",121,6
"00NCSJ0005",136,5
"00NCSJ0006",102,4
"00NCSJ0007",131,7
"00NCSJ0008",110,7
"00NCSJ0009",133,3
"00NCSK0001",210,6
"00NCSK0002",174,6
"00NCSK0003",117,10
"00NCSK0004",171,7
"00NCSK0005",138,9
"00NCSK0006",166,3
"00NCSK0007",198,5
"00NCSL0001",131,16
"00NCSL0002",112,5
"00NCSL0003",124,8
"00NCSL0004",100,19
"00NCSL0005",150,11
"00NCSL0006",140,5
"00NCSM0001",133,10
"00NCSM0002",120,6
"00NCSM0003",114,10
"00NCSM0004",112,3
"00NCSM0005",113,8
"00NCSM0006",143,18
"00NCSN0001",114,4
"00NCSN0002",116,3
"00NCSN0003",93,3
"00NCSN0004",116,11
"00NCSN0005",126,4
"00NCSN0006",94,0
"00NCSN0007",130,4
"00NCSP0001",138,7
"00NCSP0002",144,12
"00NCSP0003",57,8
"00NCSP0004",175,5
"00NCSP0005",112,8
"00NCSQ0001",134,7
"00NCSQ0002",127,7
"00NCSQ0003",134,3
"00NCSQ0004",127,8
"00NCSQ0005",132,10
"00NCSQ0006",85,3
"00NCSQ0007",129,12
"00NCSR0001",129,6
"00NCSR0002",99,8
"00NCSR0003",75,0
"00NCSR0004",125,8
"00NCSR0005",103,11
"00NCSR0006",121,16
"00NCSR0007",124,11
"00NCST0001",98,10
"00NCST0002",78,7
"00NCST0003",147,12
"00NCST0004",108,14
"00NCST0005",115,8
"00NCST0006",124,11
"00NCST0007",95,12
"00NCST0008",180,6
"00NCST0009",94,13
"00NCST0010",153,3
"00NCST0011",169,5
"00NCST0012",54,0
"00NCSU0001",116,7
"00NCSU0002",94,10
"00NCSU0003",132,7
"00NCSU0004",131,9
"00NCSU0005",91,21
"00NCSU0006",140,17
"00NCSW0001",114,8
"00NCSW0002",155,15
"00NCSW0003",125,17
"00NCSW0004",155,9
"00NCSW0005",115,15
"00NCSW0006",128,9
"00NCSX0001",149,4
"00NCSX0002",114,14
"00NCSX0003",120,12
"00NCSX0004",156,5
"00NCSX0005",142,9
"00NCSY0001",132,16
"00NCSY0002",127,5
"00NCSY0003",150,5
"00NCSY0004",184,5
"00NCSY0005",146,10
"00NCSY0006",147,7
"00NCSY0007",134,7
"00NCSZ0001",110,3
"00NCSZ0002",123,3
"00NCSZ0003",119,4
"00NCTA0001",137,9
"00NCTA0002",76,4
"00NCTA0003",100,10
"00NCTA0004",95,4
"00NCTA0005",137,19
"00NCTA0006",112,5
"00NCTA0007",91,5
"00NCTA0008",83,12
"00NCTA0009",122,4
"00NCTA0010",74,7
"00NCTA0011",87,3
"00NCTA0012",72,5
"00NCTA0013",107,8
"00NCTB0001",108,9
"00NCTB0002",111,6
"00NCTB0003",141,6
"00NCTB0004",137,6
"00NCTB0005",131,5
"00NCTB0006",99,13
"00NCTC0001",148,14
"00NCTC0002",158,3
"00NCTC0003",176,11
"00NCTC0004",149,5
"00NCTC0005",149,6
"00NCTC0006",126,8
"00NCTC0007",149,7
"00NENT0001",64,3
"00NENT0002",65,4
"00NENT0003",71,5
"00NENT0004",74,8
