"Zone Code","UV0280002","UV0280012"
"60QA000290",86,4
"60QA000291",65,1
"60QA000292",73,6
"60QA000293",55,6
"60QA000294",92,3
"60QA000295",65,0
"60QA000296",82,1
"60QA000297",54,0
"60QA000298",39,2
"60QA000299",58,0
"60QA000300",103,2
"60QA000301",1,0
"60QA000302",35,2
"60QA000303",99,2
"60QA000304",4,0
"60QA000305",42,1
"60QA000306",48,2
"60QA000307",36,1
"60QA000308",29,1
"60QA000309",99,0
"60QA000310",76,2
"60QA000311",73,4
"60QA000312",18,3
"60QA000313",53,5
"60QA000314",60,2
"60QA000315",52,3
"60QA000316",48,5
"60QA000317",45,1
"60QA000318",74,5
"60QA000319",99,0
"60QA000320",80,6
"60QA000321",85,3
"60QA000322",38,3
"60QA000323",43,0
"60QA000324",22,0
"60QA000325",53,2
"60QA000326",61,2
"60QA000327",57,2
"60QA000328",98,2
"60QA000329",77,4
"60QA000330",24,1
"60QA000331",49,4
"60QA000332",34,4
"60QA000333",29,1
"60QA000334",65,4
"60QA000335",66,4
"60QA000336",53,4
"60QA000337",66,0
"60QA000338",62,1
"60QA000339",83,4
"60QA000340",62,0
"60QA000341",49,0
"60QA000342",56,0
"60QA000343",49,0
"60QA000344",84,3
"60QA000345",53,1
"60QA000346",42,2
"60QA000347",43,2
"60QA000348",22,0
"60QA000349",38,2
"60QA000350",54,0
"60QA000351",64,2
"60QA000352",49,3
"60QA000353",49,0
"60QA000354",44,0
"60QA000355",42,4
"60QA000356",69,0
"60QA000357",98,0
"60QA000358",70,0
"60QA000359",85,0
"60QA000360",48,0
"60QA000361",36,0
"60QA000362",52,0
"60QA000363",72,0
"60QA000364",57,2
"60QA000365",49,1
"60QA000366",22,1
"60QA000367",39,2
"60QA000368",19,2
"60QA000369",52,1
"60QA000370",81,1
"60QA000371",56,1
"60QA000372",50,1
"60QA000373",47,2
"60QA000374",61,0
"60QA000375",39,1
"60QA000376",69,1
"60QA000377",67,1
"60QA000378",36,2
"60QA000379",77,2
"60QA000380",45,3
"60QA000381",56,1
"60QA000382",44,0
"60QA000383",62,1
"60QA000384",44,2
"60QA000385",64,1
"60QA000386",77,1
"60QA000387",56,2
"60QA000388",75,4
"60QA000389",55,3
"60QA000390",43,3
"60QA000391",107,5
"60QA000392",27,1
"60QA000393",61,3
"60QA000394",33,3
"60QA000395",94,3
"60QA000396",47,1
"60QA000397",54,1
"60QA000398",35,0
"60QA000399",46,0
"60QA000400",95,1
"60QA000401",83,3
"60QA000402",48,3
"60QA000403",60,0
"60QA000404",66,1
"60QA000405",77,1
"60QA000406",48,0
"60QA000407",83,3
"60QA000408",83,1
"60QA000409",82,3
"60QA000410",47,1
"60QA000411",35,0
"60QA000412",28,2
"60QA000413",24,2
"60QA000414",26,1
"60QA000415",15,2
"60QA000416",61,5
"60QA000417",22,4
"60QA000418",48,3
"60QA000419",64,5
"60QA000420",4,0
"60QA000421",47,0
"60QA000422",35,0
"60QA000423",42,0
"60QA000424",49,1
"60QA000425",46,3
"60QA000426",57,1
"60QA000427",84,1
"60QA000428",41,4
"60QA000429",79,5
"60QA000430",56,2
"60QA000431",70,2
"60QA000432",52,1
"60QA000433",81,3
"60QA000434",99,4
"60QA000435",34,0
"60QA000436",54,0
"60QA000437",85,1
"60QA000438",66,1
"60QA000439",66,0
"60QA000440",46,1
"60QA000441",66,2
"60QA000442",77,1
"60QA000443",55,2
"60QA000444",87,1
"60QA000445",63,3
"60QA000446",51,1
"60QA000447",59,1
"60QA000448",49,0
"60QA000449",51,0
"60QA000450",32,1
"60QA000451",29,4
"60QA000452",22,1
"60QA000453",34,1
"60QA000454",55,2
"60QA000455",53,1
"60QA000456",71,0
"60QA000457",70,3
"60QA000458",53,2
"60QA000459",30,2
"60QA000460",34,4
"60QA000461",71,1
"60QA000462",49,1
"60QA000463",50,3
"60QA000464",56,3
"60QA000465",30,1
"60QA000466",31,4
"60QA000467",11,0
"60QA000468",59,7
"60QA000469",25,3
"60QA000470",28,2
"60QA000471",48,3
"60QA000472",49,1
"60QA000473",44,1
"60QA000474",54,0
"60QA000475",11,0
"60QA000476",56,1
"60QA000477",40,2
"60QA000478",60,1
"60QA000479",98,2
"60QA000480",54,1
"60QA000481",68,4
"60QA000482",47,0
"60QA000483",55,3
"60QA000484",51,3
"60QA000485",41,0
"60QA000486",38,1
"60QA000487",65,1
"60QA000488",53,2
"60QA000489",38,2
"60QA000490",43,1
"60QA000491",55,2
"60QA000492",73,4
"60QA000493",22,1
"60QA000494",41,0
"60QA000495",18,1
"60QA000496",13,1
"60QA000497",31,0
"60QA000498",81,0
"60QA000499",71,1
"60QA000500",59,0
"60QA000501",15,2
"60QA000502",12,1
"60QA000503",25,2
"60QA000504",19,1
"60QA000505",25,3
"60QA000506",87,1
"60QA000507",65,2
"60QA000508",32,4
"60QA000509",38,2
"60QA000510",64,2
"60QA000511",61,8
"60QA000512",5,0
"60QA000513",2,0
"60QA000514",6,0
"60QA000515",40,2
"60QA000516",40,2
"60QA000517",57,2
"60QA000518",56,8
"60QA000519",57,6
"60QA000520",74,8
"60QA000521",30,7
"60QA000522",60,0
"60QA000523",94,3
"60QA000524",25,2
"60QA000525",57,6
"60QA000526",65,2
"60QA000527",51,3
"60QA000528",57,4
"60QA000529",59,2
"60QA000530",47,3
"60QA000531",45,6
"60QA000532",32,3
"60QA000533",17,1
"60QA000534",27,2
"60QA000535",50,1
"60QA000536",47,0
"60QA000537",74,0
"60QA000538",59,1
"60QA000539",27,1
"60QA000540",49,1
"60QA000541",37,1
"60QA000542",49,1
"60QA000543",37,3
"60QA000544",38,4
"60QA000545",31,2
"60QA000546",36,3
"60QA000547",40,2
"60QA000548",103,3
"60QA000549",36,5
"60QA000550",25,8
"60QA000551",4,0
"60QA000552",49,3
"60QA000553",64,5
"60QA000554",65,5
"60QA000555",40,1
"60QA000556",49,4
"60QA000557",25,2
"60QA000558",45,2
"60QA000559",46,4
"60QA000560",29,1
"60QA000561",81,3
"60QA000562",49,0
"60QA000563",74,5
"60QA000564",51,0
"60QA000565",64,1
"60QA000566",58,3
"60QA000567",43,4
"60QA000568",41,2
"60QA000569",39,2
"60QA000570",48,1
"60QA000571",76,4
"60QA000572",67,1
"60QA000573",49,8
"60QA000574",51,8
"60QA000575",36,0
"60QA000576",48,4
"60QA000577",78,0
"60QA000578",46,0
"60QA000579",45,1
"60QA000580",45,2
"60QA000581",33,1
"60QA000582",71,2
"60QA000583",32,6
"60QA000584",24,8
"60QA000585",33,2
"60QA000586",33,7
"60QA000587",26,5
"60QA000588",44,12
"60QA000589",39,4
"60QA000590",16,1
"60QA000591",42,2
"60QA000592",63,6
"60QA000593",64,1
"60QA000594",56,0
"60QA000595",62,0
"60QA000596",44,2
"60QA000597",36,2
"60QA000598",70,6
"60QA000599",95,7
"60QA000600",57,0
"60QA000601",34,11
"60QA000602",19,3
"60QA000603",37,6
"60QA000604",26,5
"60QA000605",25,5
"60QA000606",52,6
"60QA000607",44,5
"60QA000608",37,5
"60QA000609",34,3
"60QA000610",28,6
"60QA000611",100,13
"60QA000612",73,4
"60QA000613",59,9
"60QA000614",56,13
"60QA000615",34,4
"60QA000616",46,8
"60QA000617",40,6
"60QA000618",33,5
"60QA000619",71,7
"60QA000620",49,7
"60QA000621",48,12
"60QA000622",41,6
"60QA000623",52,8
"60QA000624",52,5
"60QA000625",36,6
"60QA000626",13,1
"60QA000627",46,0
"60QA000628",68,6
"60QA000629",108,3
"60QA000630",81,0
"60QA000631",38,3
"60QA000632",60,3
"60QA000633",46,7
"60QA000634",75,6
"60QA000635",30,2
"60QA000636",96,8
"60QA000637",94,2
"60QA000638",74,0
"60QA000639",83,2
"60QA000640",51,1
"60QA000641",80,0
"60QA000642",38,1
"60QA000643",37,3
"60QA000644",61,1
"60QA000645",62,5
"60QA000646",56,13
"60QA000647",50,1
"60QA000648",55,0
"60QA000649",53,1
"60QA000650",43,1
"60QA000651",74,2
"60QA000652",155,0
"60QA000653",62,1
"60QA000654",32,1
"60QA000655",37,0
"60QA000656",78,3
"60QA000657",48,0
"60QA000658",80,2
"60QA000659",83,2
"60QA000660",78,3
"60QA000661",57,3
"60QA000662",41,3
"60QA000663",84,4
"60QA000664",36,4
"60QA000665",70,2
"60QA000666",29,2
"60QA000667",55,5
"60QA000668",45,3
"60QA000669",73,1
"60QA000670",52,3
"60QA000671",50,10
"60QA000672",31,2
"60QA000673",60,2
"60QA000674",34,2
"60QA000675",47,1
"60QA000676",41,2
"60QA000677",51,5
"60QA000678",69,4
"60QA000679",80,1
"60QA000680",32,3
"60QA000681",57,1
"60QA000682",40,1
"60QA000683",73,3
"60QA000684",33,2
"60QA000685",41,3
"60QA000686",53,5
"60QA000687",46,2
"60QA000688",88,2
"60QA000689",43,0
"60QA000690",29,0
"60QA000691",41,2
"60QA000692",107,2
"60QA000693",64,1
"60QA000694",57,0
"60QA000695",73,1
"60QA000696",64,0
"60QA000697",39,1
"60QA000698",67,3
"60QA000699",55,0
"60QA000700",65,1
"60QA000701",55,1
"60QA000702",31,2
"60QA000703",21,1
"60QA000704",66,1
"60QA000705",56,1
"60QA000706",67,1
"60QA000707",54,0
"60QA000708",79,2
"60QA000709",89,0
"60QA000710",43,1
"60QA000711",19,0
"60QA000712",49,1
"60QA000713",83,2
"60QA000714",97,3
"60QA000715",100,3
"60QA000716",87,2
"60QA000717",56,3
"60QA000718",50,1
"60QA000719",57,0
"60QA000720",73,2
"60QA000721",67,1
"60QA000722",51,2
"60QA000723",99,5
"60QA000724",63,0
"60QA000725",73,1
"60QA000726",71,0
"60QA000727",46,0
"60QA000728",44,0
"60QA000729",52,4
"60QA000730",64,2
"60QA000731",52,1
"60QA000732",91,1
"60QA000733",47,0
"60QA000734",52,1
"60QA000735",75,1
"60QA000736",55,1
"60QA000737",69,1
"60QA000738",85,2
"60QA000739",59,1
"60QA000740",67,1
"60QA000741",86,7
"60QA000742",57,1
"60QA000743",59,1
"60QA000744",67,0
"60QA000745",68,4
"60QA000746",39,2
"60QA000747",47,0
"60QA000748",72,3
"60QA000749",51,1
"60QA000750",108,6
"60QA000751",55,2
"60QA000752",35,1
"60QA000753",71,2
"60QA000754",71,1
"60QA000755",68,0
"60QA000756",77,3
"60QA000757",58,2
"60QA000758",50,2
"60QA000759",52,2
"60QA000760",34,1
"60QA000761",65,1
"60QA000762",65,4
"60QA000763",72,4
"60QA000764",79,4
"60QA000765",56,0
"60QA000766",63,1
"60QA000767",68,2
"60QA000768",59,1
"60QA000769",73,6
"60QA000770",19,3
"60QA000771",48,4
"60QA000772",65,2
"60QA000773",73,3
"60QA000774",2,0
"60QA000775",60,1
"60QA000776",58,11
"60QA000777",51,4
"60QA000778",53,1
"60QA000779",58,0
"60QA000780",71,1
"60QA000781",112,2
"60QA000782",26,4
"60QA000783",39,0
"60QA000784",89,0
"60QA000785",65,1
"60QA000786",78,0
"60QA000787",81,3
"60QA000788",69,1
"60QA000789",94,1
"60QA000790",84,1
"60QA000791",28,1
"60QA000792",79,2
"60QA000793",34,0
"60QA000794",74,0
"60QA000795",41,0
"60QA000796",51,3
"60QA000797",49,2
"60QA000798",42,1
"60QA000799",31,4
"60QA000800",34,0
"60QA000801",43,1
"60QA000802",58,4
"60QA000803",81,6
"60QA000804",19,2
"60QA000805",37,2
"60QA000806",56,4
"60QA000807",69,4
"60QA000808",45,1
"60QA000809",78,3
"60QA000810",53,5
"60QA000811",67,3
"60QA000812",61,1
"60QA000813",28,0
"60QA000814",78,4
"60QA000815",86,6
"60QA000816",57,2
"60QA000817",76,4
"60QA000818",54,5
"60QA000819",59,1
"60QA000820",66,5
