Zone ID,Zone name,l080001,l080020,l080115,l080134,l080172
01AEFQ,Noel Park                       ,8688,5212,113,1087,3476
01AEFR,Park                            ,5138,3154,62,680,1984
01AEFS,Seven Sisters                   ,5151,3261,64,708,1890
01AEFT,South Hornsey                   ,5405,3849,56,634,1556
01AEFU,South Tottenham                 ,5820,3657,82,759,2163
01AEFW,Tottenham Central               ,8441,5318,129,1051,3123
01AEFX,West Green                      ,8983,5807,150,1145,3176
01AEFY,White Hart Lane                 ,7328,3937,66,840,3391
01AEFZ,Woodside                        ,7834,4983,82,873,2851
01AESS,Shipping                        ,0,0,0,0,0
01AFFA,Barnsbury                       ,7594,4914,55,840,2680
01AFFB,Bunhill                         ,6429,3563,58,593,2866
01AFFC,Canonbury East                  ,5655,3616,60,623,2039
01AFFD,Canonbury West                  ,4689,2768,25,427,1921
01AFFE,Clerkenwell                     ,7902,4881,62,882,3021
01AFFF,Gillespie                       ,4846,3266,52,463,1580
01AFFG,Highbury                        ,7912,5272,62,857,2640
01AFFH,Highview                        ,4414,2857,61,581,1557
01AFFJ,Hillmarton                      ,5687,3459,42,550,2228
01AFFK,Hillrise                        ,7461,4851,48,738,2610
01AFFL,Holloway                        ,7084,4273,61,750,2811
01AFFM,Junction                        ,7593,4782,54,787,2811
01AFFN,Mildmay                         ,9339,5959,97,1013,3380
01AFFP,Quadrant                        ,5731,3512,48,541,2219
01AFFQ,St.George's                     ,7913,5006,66,871,2907
01AFFR,St.Mary                         ,6200,4143,54,581,2057
01AFFS,St.Peter                        ,7130,4581,41,733,2549
01AFFT,Sussex                          ,5597,3598,53,666,1999
01AFFU,Thornhill                       ,5383,3414,49,722,1969
01AFFW,Tollington                      ,8666,5485,65,1121,3181
01AFSS,Shipping                        ,0,0,0,0,0
01AGFA,Abingdon                        ,6866,4347,59,442,2519
01AGFB,Avondale                        ,6253,3799,47,730,2454
01AGFC,Brompton                        ,3535,2299,25,150,1236
01AGFD,Campden                         ,5844,3727,35,258,2117
01AGFE,Cheyne                          ,4793,2901,13,216,1892
01AGFF,Church                          ,3854,2123,20,216,1731
01AGFG,Colville                        ,6170,4300,63,738,1870
01AGFH,Courtfield                      ,6475,4671,34,446,1804
01AGFJ,Earls Court                     ,8471,5993,69,858,2478
01AGFK,Golborne                        ,6014,3779,71,913,2235
01AGFL,Hans Town                       ,6157,3716,20,273,2441
01AGFM,Holland                         ,7017,4372,36,452,2645
01AGFN,Kelfield                        ,5200,3489,36,494,1711
01AGFP,Norland                         ,3692,2482,7,183,1210
01AGFQ,North Stanley                   ,4410,2760,22,269,1650
01AGFR,Pembridge                       ,6361,4474,44,442,1887
01AGFS,Queens Gate                     ,7027,4444,31,362,2583
01AGFT,Redcliffe                       ,6535,4339,41,483,2196
01AGFU,Royal Hospital                  ,4344,2511,11,153,1833
01AGFW,St.Charles                      ,4418,2570,35,467,1848
01AGFX,South Stanley                   ,5169,3013,41,477,2156
01AGSS,Shipping                        ,0,0,0,0,0
