"Zone Code","UV0280002","UV0280012"
"00ABGD0009",93,13
"00ABGD0010",78,13
"00ABGD0011",134,18
"00ABGD0012",87,15
"00ABGD0013",99,13
"00ABGD0014",137,8
"00ABGD0015",168,12
"00ABGD0016",96,10
"00ABGD0017",126,4
"00ABGD0018",119,17
"00ABGD0019",111,18
"00ABGD0020",134,5
"00ABGD0021",126,12
"00ABGD0022",122,23
"00ABGD0023",182,13
"00ABGD0024",110,26
"00ABGD0025",97,5
"00ABGD0026",104,19
"00ABGD0027",139,4
"00ABGD0028",108,12
"00ABGD0029",115,11
"00ABGD0030",125,23
"00ABGD0031",103,11
"00ABGD0032",108,19
"00ABGE0001",127,13
"00ABGE0002",151,9
"00ABGE0003",116,3
"00ABGE0004",127,13
"00ABGE0005",184,9
"00ABGE0006",131,9
"00ABGE0007",119,9
"00ABGE0008",156,8
"00ABGE0009",140,11
"00ABGE0010",137,7
"00ABGE0011",145,13
"00ABGE0012",108,16
"00ABGE0013",153,9
"00ABGE0014",118,10
"00ABGE0015",122,7
"00ABGE0016",137,6
"00ABGE0017",125,9
"00ABGE0018",144,10
"00ABGE0019",124,10
"00ABGE0020",100,8
"00ABGE0021",136,10
"00ABGE0022",127,10
"00ABGE0023",152,8
"00ABGE0024",140,9
"00ABGE0025",138,11
"00ABGE0026",149,13
"00ABGE0027",116,8
"00ABGE0028",121,8
"00ABGE0029",100,7
"00ABGE0030",146,10
"00ABGE0031",154,6
"00ABGE0032",146,15
"00ABGE0033",142,8
"00ABGF0001",129,9
"00ABGF0002",94,4
"00ABGF0003",111,11
"00ABGF0004",95,7
"00ABGF0005",127,7
"00ABGF0006",144,10
"00ABGF0007",54,9
"00ABGF0008",177,21
"00ABGF0009",129,11
"00ABGF0010",147,11
"00ABGF0011",127,6
"00ABGF0012",73,11
"00ABGF0013",77,9
"00ABGF0014",181,7
"00ABGF0015",109,7
"00ABGF0016",142,9
"00ABGF0017",165,16
"00ABGF0018",116,7
"00ABGF0019",121,4
"00ABGF0020",57,5
"00ABGF0021",62,7
"00ABGF0022",106,7
"00ABGF0023",147,3
"00ABGF0024",118,10
"00ABGF0025",120,6
"00ABGF0026",77,6
"00ABGF0027",116,9
"00ABGF0028",137,8
"00ABGF0029",122,7
"00ABGF0030",106,22
"00ABGF0031",111,24
"00ABGF0032",97,24
"00ABGF0033",85,16
"00ABGG0001",108,8
"00ABGG0002",195,6
"00ABGG0003",157,6
"00ABGG0004",165,6
"00ABGG0005",158,4
"00ABGG0006",190,7
"00ABGG0007",117,0
"00ABGG0008",157,6
"00ABGG0009",166,3
"00ABGG0010",142,7
"00ABGG0011",153,7
"00ABGG0012",176,11
"00ABGG0013",190,6
"00ABGG0014",193,10
"00ABGG0015",176,4
"00ABGG0016",162,5
"00ABGG0017",157,8
"00ABGG0018",157,10
"00ABGG0019",149,3
"00ABGG0020",152,7
"00ABGG0021",192,10
"00ABGG0022",135,10
"00ABGG0023",211,7
"00ABGG0024",99,0
"00ABGG0025",135,8
"00ABGG0026",148,3
"00ABGG0027",162,5
"00ABGG0028",60,0
"00ABGH0001",147,8
"00ABGH0002",135,9
"00ABGH0003",120,14
"00ABGH0004",131,6
"00ABGH0005",101,5
"00ABGH0006",114,9
"00ABGH0007",81,7
"00ABGH0008",122,4
"00ABGH0009",162,13
"00ABGH0010",95,9
"00ABGH0011",126,5
"00ABGH0012",137,6
"00ABGH0013",134,16
"00ABGH0014",115,7
"00ABGH0015",129,7
"00ABGH0016",141,16
"00ABGH0017",106,3
"00ABGH0018",161,9
"00ABGH0019",110,8
"00ABGH0020",98,11
"00ABGH0021",133,11
"00ABGH0022",142,8
"00ABGH0023",138,10
"00ABGH0024",119,5
"00ABGH0025",123,15
"00ABGH0026",130,6
"00ABGH0027",116,12
"00ABGH0028",163,3
"00ABGH0029",135,9
"00ABGH0030",105,13
"00ABGH0031",146,8
"00ABGJ0001",165,11
"00ABGJ0002",131,12
"00ABGJ0003",95,13
"00ABGJ0004",154,7
"00ABGJ0005",119,6
"00ABGJ0006",120,10
"00ABGJ0007",111,7
"00ABGJ0008",131,17
"00ABGJ0009",144,8
"00ABGJ0010",133,11
"00ABGJ0011",171,6
"00ABGJ0012",113,9
"00ABGJ0013",140,5
"00ABGJ0014",130,13
"00ABGJ0015",138,7
"00ABGJ0016",119,11
"00ABGJ0017",129,7
"00ABGJ0018",127,6
"00ABGJ0019",113,3
"00ABGJ0020",128,8
"00ABGJ0021",151,14
"00ABGJ0022",79,3
"00ABGJ0023",94,8
"00ABGJ0024",103,5
"00ABGJ0025",126,10
"00ABGJ0026",132,13
"00ABGJ0027",70,5
"00ABGJ0028",121,8
"00ABGJ0029",124,6
"00ABGJ0030",140,14
"00ABGK0001",145,6
"00ABGK0002",188,11
"00ABGK0003",169,13
"00ABGK0004",149,17
"00ABGK0005",139,7
"00ABGK0006",148,18
"00ABGK0007",125,8
"00ABGK0008",137,10
"00ABGK0009",171,15
"00ABGK0010",157,5
"00ABGK0011",155,9
"00ABGK0012",147,19
"00ABGK0013",150,7
"00ABGK0014",164,8
"00ABGK0015",149,8
"00ABGK0016",163,8
"00ABGK0017",167,8
"00ABGK0018",181,6
"00ABGK0019",165,10
"00ABGK0020",137,6
"00ABGK0021",143,17
"00ABGK0022",152,15
"00ABGK0023",131,20
"00ABGK0024",139,8
"00ABGK0025",148,8
"00ABGK0026",166,11
"00ABGK0027",159,13
"00ABGK0028",93,6
"00ABGK0029",163,8
"00ABGK0030",147,10
"00ABGK0031",124,9
"00ABGL0001",103,10
"00ABGL0002",150,7
"00ABGL0003",115,13
"00ABGL0004",97,16
"00ABGL0005",205,9
"00ABGL0006",111,13
"00ABGL0007",148,13
"00ABGL0008",89,19
"00ABGL0009",83,12
"00ABGL0010",76,11
"00ABGL0011",81,6
"00ABGL0012",107,10
"00ABGL0013",163,13
"00ABGL0014",157,10
"00ABGL0015",122,10
"00ABGL0016",84,5
"00ABGL0017",125,11
"00ABGL0018",107,18
"00ABGL0019",213,10
"00ABGL0020",181,7
"00ABGL0021",120,9
"00ABGL0022",97,13
"00ABGL0023",101,12
"00ABGL0024",143,13
"00ABGL0025",98,15
"00ABGL0026",120,13
"00ABGL0027",142,18
"00ABGL0028",154,10
"00ABGL0029",116,13
"00ABGL0030",108,7
"00ABGM0001",120,10
"00ABGM0002",148,10
"00ABGM0003",190,17
"00ABGM0004",133,8
"00ABGM0005",129,14
"00ABGM0006",110,12
"00ABGM0007",95,0
"00ABGM0008",137,10
"00ABGM0009",130,7
"00ABGM0010",167,15
"00ABGM0011",146,10
"00ABGM0012",120,3
"00ABGM0013",114,3
"00ABGM0014",145,10
"00ABGM0015",115,6
"00ABGM0016",110,8
"00ABGM0017",128,8
"00ABGM0018",113,9
"00ABGM0019",131,9
"00ABGM0020",123,6
"00ABGM0021",83,5
"00ABGM0022",115,7
"00ABGM0023",136,7
"00ABGM0024",70,5
"00ABGM0025",143,16
"00ABGM0026",123,7
"00ABGM0027",120,5
"00ABGM0028",120,9
"00ABGM0029",100,9
"00ABGM0030",95,3
"00ABGN0001",141,25
"00ABGN0002",112,7
"00ABGN0003",170,0
"00ABGN0004",107,5
"00ABGN0005",137,13
"00ABGN0006",91,17
"00ABGN0007",122,4
"00ABGN0008",113,9
"00ABGN0009",140,7
"00ABGN0010",110,8
"00ABGN0011",146,9
"00ABGN0012",121,23
"00ABGN0013",144,9
"00ABGN0014",83,10
"00ABGN0015",86,15
"00ABGN0016",127,9
"00ABGN0017",126,5
"00ABGN0018",94,11
"00ABGN0019",113,7
"00ABGN0020",93,12
"00ABGN0021",81,5
"00ABGN0022",138,9
"00ABGN0023",84,9
"00ABGN0024",119,9
"00ABGN0025",109,7
"00ABGN0026",103,16
"00ABGN0027",185,8
"00ABGN0028",122,4
"00ABGN0029",163,9
"00ABGN0030",166,6
"00ABGN0031",143,8
"00ABGN0032",77,5
"00ABGN0033",189,9
"00ABGN0034",181,7
"00ABGP0001",134,10
"00ABGP0002",109,6
"00ABGP0003",140,4
"00ABGP0004",131,5
"00ABGP0005",154,5
"00ABGP0006",176,8
"00ABGP0007",105,9
"00ABGP0008",191,8
"00ABGP0009",185,8
"00ABGP0010",167,5
"00ABGP0011",187,6
"00ABGP0012",122,3
"00ABGP0013",147,8
"00ABGP0014",100,3
"00ABGP0015",154,8
"00ABGP0016",192,7
"00ABGP0017",172,3
"00ABGP0018",220,4
"00ABGP0019",56,3
"00ABGP0020",158,7
"00ABGP0021",121,6
"00ABGP0022",117,11
"00ABGP0023",139,6
"00ABGP0024",112,9
"00ABGP0025",169,6
"00ABGP0026",146,3
"00ABGP0027",193,8
"00ABGP0028",172,3
"00ABGP0029",174,6
"00ABGP0030",181,8
"00ABGP0031",152,5
"00ACFX0001",190,4
"00ACFX0002",127,4
"00ACFX0003",180,8
"00ACFX0004",147,6
"00ACFX0005",164,7
"00ACFX0006",118,5
"00ACFX0007",195,11
"00ACFX0008",146,6
"00ACFX0009",162,9
"00ACFX0010",207,6
"00ACFX0011",148,8
"00ACFX0012",187,5
"00ACFX0013",172,6
"00ACFX0014",140,4
"00ACFX0015",148,7
"00ACFX0016",172,5
"00ACFX0017",116,4
"00ACFX0018",187,4
"00ACFX0019",162,10
"00ACFX0020",114,11
"00ACFX0021",168,9
"00ACFX0022",170,6
"00ACFX0023",173,6
"00ACFX0024",97,11
"00ACFX0025",181,7
"00ACFX0026",189,7
"00ACFX0027",177,7
"00ACFX0028",167,8
"00ACFX0029",178,5
"00ACFX0030",172,5
"00ACFX0031",138,11
"00ACFX0032",127,7
"00ACFX0033",185,5
"00ACFX0034",95,10
"00ACFX0035",202,7
"00ACFX0036",135,6
"00ACFX0037",139,6
"00ACFX0038",203,8
"00ACFX0039",169,4
"00ACFX0040",169,8
"00ACFX0041",167,11
"00ACFX0042",157,7
"00ACFX0043",127,3
"00ACFX0044",173,7
"00ACFX0045",201,4
"00ACFY0001",129,18
"00ACFY0002",118,9
"00ACFY0003",169,10
"00ACFY0004",165,7
"00ACFY0005",136,12
"00ACFY0006",117,4
"00ACFY0007",132,13
"00ACFY0008",152,8
"00ACFY0009",179,9
"00ACFY0010",169,11
"00ACFY0011",158,9
"00ACFY0012",121,14
"00ACFY0013",139,4
"00ACFY0014",152,0
"00ACFY0015",128,13
"00ACFY0016",125,11
"00ACFY0017",152,16
"00ACFY0018",150,15
"00ACFY0019",163,12
"00ACFY0020",170,15
"00ACFY0021",130,11
"00ACFY0022",137,12
"00ACFY0023",181,5
"00ACFY0024",144,14
"00ACFY0025",135,13
"00ACFY0026",134,12
"00ACFY0027",161,10
"00ACFY0028",159,13
"00ACFY0029",142,9
"00ACFY0030",160,11
"00ACFY0031",139,12
"00ACFY0032",137,12
"00ACFY0033",189,14
"00ACFY0034",123,7
"00ACFY0035",165,10
"00ACFY0036",152,8
"00ACFY0037",143,14
"00ACFY0038",165,9
"00ACFY0039",98,8
"00ACFY0040",122,10
"00ACFY0041",168,11
"00ACFY0042",143,14
"00ACFY0043",109,12
"00ACFY0044",75,14
"00ACFY0045",138,15
"00ACFY0046",123,18
"00ACFY0047",137,10
"00ACFZ0001",125,13
"00ACFZ0002",185,14
"00ACFZ0003",165,6
"00ACFZ0004",166,7
"00ACFZ0005",179,3
"00ACFZ0006",175,22
"00ACFZ0007",168,3
"00ACFZ0008",144,12
"00ACFZ0009",174,7
"00ACFZ0010",129,10
"00ACFZ0011",116,12
"00ACFZ0012",152,6
"00ACFZ0013",213,14
"00ACFZ0014",110,13
"00ACFZ0015",127,15
"00ACFZ0016",133,14
"00ACFZ0017",139,12
"00ACFZ0018",150,10
"00ACFZ0019",154,13
"00ACFZ0020",160,9
"00ACFZ0021",160,12
"00ACFZ0022",146,10
"00ACFZ0023",146,8
"00ACFZ0024",128,6
"00ACFZ0025",150,10
"00ACFZ0026",163,11
"00ACFZ0027",159,8
"00ACFZ0028",159,5
"00ACFZ0029",233,11
"00ACFZ0030",184,6
"00ACFZ0031",161,10
"00ACFZ0032",168,9
"00ACFZ0033",136,4
"00ACFZ0034",131,6
"00ACFZ0035",174,10
"00ACFZ0036",168,5
"00ACFZ0037",106,4
"00ACFZ0038",174,5
"00ACFZ0039",153,8
"00ACFZ0040",184,5
"00ACFZ0041",168,5
"00ACFZ0042",97,10
"00ACFZ0043",188,7
"00ACFZ0044",151,13
"00ACFZ0045",147,7
"00ACFZ0046",164,14
"00ACFZ0047",160,10
"00ACFZ0048",147,8
"00ACFZ0049",183,5
"00ACFZ0050",108,12
"00ACFZ0051",115,12
"00ACFZ0052",160,10
"00ACFZ0053",146,9
"00ACFZ0054",164,16
"00ACFZ0055",160,7
"00ACGA0001",166,5
"00ACGA0002",133,3
"00ACGA0003",173,11
"00ACGA0004",188,9
"00ACGA0005",175,12
"00ACGA0006",181,6
"00ACGA0007",179,5
"00ACGA0008",168,10
"00ACGA0009",137,3
"00ACGA0010",177,8
"00ACGA0011",144,5
"00ACGA0012",140,8
"00ACGA0013",143,11
"00ACGA0014",128,12
"00ACGA0015",113,14
"00ACGA0016",111,13
"00ACGA0017",140,8
"00ACGA0018",113,9
"00ACGA0019",125,6
"00ACGA0020",115,15
"00ACGA0021",123,13
"00ACGA0022",141,20
"00ACGA0023",108,28
"00ACGA0024",131,20
"00ACGA0025",121,24
"00ACGA0026",180,14
"00ACGA0027",105,13
"00ACGA0028",124,23
"00ACGA0029",116,9
"00ACGA0030",144,16
"00ACGA0031",155,18
"00ACGA0032",129,21
"00ACGA0033",142,5
"00ACGA0034",113,5
"00ACGA0035",161,7
"00ACGA0036",118,9
"00ACGA0037",80,15
"00ACGA0038",126,7
"00ACGA0039",120,11
"00ACGA0040",163,8
"00ACGA0041",125,14
"00ACGA0042",171,13
"00ACGA0043",146,8
"00ACGA0044",153,13
"00ACGA0045",123,9
"00ACGA0046",101,9
"00ACGB0001",195,6
"00ACGB0002",206,6
"00ACGB0003",210,4
"00ACGB0004",122,6
"00ACGB0005",122,14
"00ACGB0006",109,15
"00ACGB0007",135,4
"00ACGB0008",125,7
"00ACGB0009",153,8
"00ACGB0010",179,11
"00ACGB0011",191,10
"00ACGB0012",151,10
"00ACGB0013",127,13
"00ACGB0014",176,11
"00ACGB0015",133,7
"00ACGB0016",222,6
"00ACGB0017",195,10
"00ACGB0018",211,7
"00ACGB0019",186,7
"00ACGB0020",168,9
"00ACGB0021",109,14
"00ACGB0022",125,8
"00ACGB0023",128,9
"00ACGB0024",137,10
"00ACGB0025",190,8
"00ACGB0026",158,12
"00ACGB0027",161,12
"00ACGB0028",136,14
"00ACGB0029",144,12
"00ACGB0030",140,8
"00ACGB0031",148,6
"00ACGB0032",138,13
"00ACGB0033",164,8
"00ACGB0034",162,9
"00ACGB0035",128,5
"00ACGB0036",188,11
"00ACGB0037",152,3
"00ACGB0038",148,6
"00ACGB0039",84,10
"00ACGB0040",123,10
"00ACGB0041",92,6
"00ACGB0042",153,11
"00ACGB0043",183,7
